tm_index,action,selected_K,PR,DB,decision_ms
913,K200,200,0.9998826485457334,0.001006865854919257,59.8
914,K200,200,0.9997934258329155,0.0005853551505782272,119.7
915,K200,200,0.9998035147577664,0.0006513302155218752,61.7
916,K200,200,0.999903005598917,0.0008023661703383223,63.9
917,K200,200,0.9998809716052774,0.002273226953888208,60.9
918,K200,200,0.9998931766398717,0.0036890554534141115,59.4
919,K200,200,0.9998788376327673,0.002110167528594219,59.5
920,K200,200,0.9998529539075397,0.002404683541882217,59.6
921,K200,200,0.9998689311242532,0.002947820069685597,59.6
922,K200,200,0.9999075274217661,0.0008207546285428604,59.8
923,K200,200,0.9998735087331927,0.0013482659402369727,60.9
924,K200,200,0.9998847498557782,0.0013367298920901546,118.8
925,K200,200,0.9998808660638657,0.0019497164358407658,59.6
926,K200,200,0.9999249760480146,0.000950495602508647,58.7
927,K200,200,0.9998215823791042,0.0016127348364160623,59.3
928,K200,200,0.9999260021665404,0.002088274541290838,60.4
929,K200,200,0.9998629684594006,0.0012893761611998808,60.9
930,K200,200,0.999870900605394,0.0007489203510122588,60.4
931,K200,200,0.9999294550468966,0.002139196075452156,61.9
932,K200,200,0.9999871131861823,0.0007147470748856285,61.1
933,K200,200,0.9999906646662505,0.002559086681438375,62.6
934,K200,200,0.9999887420174565,0.0006441758965370765,120.2
935,K200,200,0.9999777491790715,0.0028774537947280176,60.6
936,K200,200,0.9999339978515536,0.0025113553483698385,59.9
937,K200,200,0.9999862406221595,0.005215768722105817,60.2
938,K200,200,0.9999194437435263,0.001394161554628999,60.6
939,K200,200,0.9998063889439788,0.0008430300601512113,60.7
940,K200,200,0.9999678979833613,0.0010252430665965663,60.0
941,K200,200,0.9998898513832984,0.0005019877703593475,60.6
942,K200,200,0.9999335469381357,0.0008136218882579666,62.3
943,K200,200,0.9999691586818624,0.0016967457571857526,61.8
944,K200,200,0.9999694095556454,0.002252398849204038,122.8
945,K200,200,0.9999889353472258,0.001316429909578671,61.9
946,K200,200,0.9999655818286689,0.0028659040914095477,60.9
947,K200,200,0.9999333929693921,0.003588381326605076,60.9
948,K200,200,0.9999388160163505,0.0017621287903270635,61.9
949,K200,200,0.9999370958827555,0.001805196037318543,61.1
950,K200,200,0.999944798899412,0.001816872355536061,60.8
951,K200,200,0.9999585285437875,0.0014931426649397363,62.5
952,K200,200,0.9999507056148917,0.002901109715497289,66.7
953,K200,200,0.9999617667155233,0.0023942862213328763,62.7
954,K200,200,0.9998204403745135,0.0011824909162360029,61.3
955,K200,200,0.9998319815769816,0.0015657941055109645,60.1
956,K200,200,0.9998113513209508,0.002709624870029394,122.0
957,K200,200,0.9998734933137994,0.002504061088353322,59.9
958,K200,200,0.9998691063826136,0.0004640598710271469,59.4
959,K200,200,0.9998099384848201,0.0025001602739793006,60.1
960,K200,200,0.9999370038103126,0.002364880148135425,60.4
961,K200,200,0.9998413998732456,0.001001681246782253,62.3
962,K200,200,0.999770331734815,0.002716831589318451,62.2
963,K200,200,0.9998619261335616,0.0025402007678638717,62.1
964,K200,200,0.9997351269212342,0.0029465903579298652,62.7
965,K200,200,0.9999039048096059,0.003930298470547994,61.2
966,K200,200,0.999896667349223,0.0012125414907454485,119.6
967,K200,200,0.9998790767254196,0.0006141261563830352,61.1
968,K200,200,0.9999035995317102,0.0013471626269228277,61.1
969,K200,200,0.9999001655186622,0.0008078301414922625,60.7
970,K200,200,0.9996642294463151,0.0016409180583458502,59.9
971,K200,200,0.9999758393551024,0.0023979872313784345,61.3
972,K200,200,0.9999548847060574,0.0012418683811050836,59.9
973,K200,200,0.9998603898541104,0.0003476292095171325,60.4
974,K200,200,0.9999708131215651,0.0029069562480015785,60.1
975,K200,200,0.9998851716891816,0.0006886002680949375,60.1
976,K200,200,0.9999437427882659,0.0016484256563127839,125.6
977,K200,200,0.9998783079826957,0.002089359575044825,61.8
978,K200,200,0.9999068536765263,0.0009631092009636812,63.2
979,K200,200,0.9999439439360837,0.0030166693930201286,61.4
980,K200,200,0.9999284348157221,0.0011796407262697143,62.5
981,K200,200,0.9998898499384943,0.001268072572223964,62.1
982,K200,200,0.9998954748878586,0.004597222819467036,65.1
983,K200,200,0.9999464947180386,0.002405259450255915,63.6
984,K200,200,0.9999209193020017,0.00025028577802630494,62.7
985,K200,200,0.9999662814690353,0.0008942350690669759,62.0
986,K200,200,0.9999690976867746,0.001078518589361335,127.9
987,K200,200,0.9999729818573253,0.004679721411258548,59.8
988,K200,200,0.9999593295781928,0.0022527897506328344,60.9
989,K200,200,0.9998910714214997,0.00789933072661873,60.3
990,K200,200,0.9998941764789434,0.004592623899798184,61.6
991,K200,200,0.9999667139535942,0.0008130226205924107,60.0
992,K200,200,0.9999610517095239,0.00037224650696349745,61.9
993,K200,200,0.9999448249653741,0.0019127863445588605,61.1
994,K200,200,0.9999709601789496,0.0028232786238991127,62.6
995,K200,200,0.999854983786517,0.0016355290329928328,60.6
996,K200,200,0.9999489910469306,0.0010084895413491521,120.7
997,K200,200,0.9999726284238304,0.002418423139951218,59.7
998,K200,200,0.9999652364650851,0.0018243036735432609,60.0
999,K200,200,0.9999474589877179,0.0026328048985397655,60.5
